Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,idx
54505323,Invent and Wander: The Collected Writings of Jeff Bezos,Jeff Bezos,"Bezos, Jeff",Walter Isaacson,"=""1647820715""","=""9781647820718""",2,3.98,,Hardcover,288,2020,2020,2021/03/11,2021/04/25,,,read,,,,1,,,0,,,,,,0
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",James Warhola,"=""0441788386""","=""9780441788385""",2,3.92,Ace,Paperback,525,1991,1961,2020/04/03,2021/04/25,,,read,,,,1,,,0,,,,,,1
35069870,"Fake Science: Exposing the Left's Skewed Statistics, Fuzzy Facts, and Dodgy Data",Austin Ruse,"Ruse, Austin",Mike Chamberlain,"=""1683669185""","=""9781683669180""",2,3.82,Mission Audio,Audiobook,,2017,,2020/05/07,2021/04/25,,,read,,,,1,,,0,,,,,,2
11559910,A Cooperative Species: Human Reciprocity and Its Evolution,Samuel Bowles,"Bowles, Samuel",Herbert Gintis,"=""""","=""""",2,3.82,,Kindle Edition,280,,2011,2020/02/09,2021/04/25,,,read,,,,1,,,0,,,,,,3
391881,Free Trade Under Fire,Douglas A. Irwin,"Irwin, Douglas A.",,"=""0691122474""","=""9780691122472""",2,3.64,Princeton University Press,Paperback,304,2005,2002,2020/02/13,2021/04/25,,,read,,,,1,,,0,,,,,,4
3263607,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""9780345015339""",5,4.37,Ballantine Books,Mass Market Paperback,527,1973,1954,2020/03/14,2021/04/25,,,read,,,,1,,,0,,,,,,5
11588,The Shining,Stephen King,"King, Stephen",,"=""0450040186""","=""9780450040184""",5,4.24,New English Library (Hodder & Stoughton) ,Paperback,659,1980,1977,2019/11/12,2021/04/25,,,read,,,,1,,,0,,,,,,6
13697464,Guardians of Finance: Making Regulators Work for Us,James R. Barth,"Barth, James R.","Gerard Caprio Jr., Ross Levine","=""0262017393""","=""9780262017398""",5,4.18,MIT Press (MA),Hardcover,280,2012,2012,2020/01/16,2021/04/25,,,read,,,,1,,,0,,,,,,7
41589,The Affluent Society,John Kenneth Galbraith,"Galbraith, John Kenneth",,"=""0140285199""","=""9780140285192""",5,4.00,,Paperback,276,1999,1958,2020/10/05,2021/04/25,,,read,,,,1,,,0,,,,,,8
493371,The Bottom Billion: Why the Poorest Countries Are Failing and What Can Be Done About It,Paul Collier,"Collier, Paul",هيثم نشواتي,"=""0195311450""","=""9780195311457""",5,3.87,"Oxford University Press, USA",Hardcover,205,2007,2007,2020/05/12,2021/04/25,,,read,,,,1,,,0,,,,,,9
